REGIJA,LETO,DELOVNO.AKTIVNO.PREBIVALSTVO,ST.OSEB.POD.PRAGOM.REVSCINE,ST.RESNO.MATERIALNO.PRIKRAJSANIH,POVP.DOHOD.NA.CLANA.GOSPODINJSTVA,PREBIVALSTVO
SLOVENIJA,2005,813100,NA,NA,NA,1997590
SLOVENIJA,2006,824839,NA,NA,NA,2003358
SLOVENIJA,2007,853999,NA,NA,NA,2010377
SLOVENIJA,2008,879257,241000,130000,7532,2025866
SLOVENIJA,2009,858171,223000,121000,8199,2032362
SLOVENIJA,2010,835039,254000,119000,8317,2046976
SLOVENIJA,2011,823967,273000,122000,8482,2050189
SLOVENIJA,2012,810001,271000,133000,8567,2055496
SLOVENIJA,2013,793597,291000,134000,8413,2058821
SLOVENIJA,2014,797792,290000,133000,8519,2061085
SLOVENIJA,2015,804637,287000,116000,8746,2062874
SLOVENIJA,2016,817209,280000,108000,8732,2064188
SLOVENIJA,2017,845454,268000,92000,8990,2065895
SLOVENIJA,2018,872772,268000,74000,9333,2066880
SLOVENIJA,2019,894229,243000,53000,10093,2080908
SLOVENIJA,2020,888918,254000,62000,10477,2095861
Pomurska,2005,45768,NA,NA,NA,122717
Pomurska,2006,46361,NA,NA,NA,122453
Pomurska,2007,47834,NA,NA,NA,122068
Pomurska,2008,48471,24000,12000,6366,121824
Pomurska,2009,46141,22000,10000,6836,119537
Pomurska,2010,43482,22000,8000,7099,119548
Pomurska,2011,43945,22000,6000,7071,119145
Pomurska,2012,41877,21000,8000,7251,118988
Pomurska,2013,40783,23000,6000,7447,118022
Pomurska,2014,40283,22000,11000,7693,117133
Pomurska,2015,39600,20000,7000,8050,116670
Pomurska,2016,39523,19000,5000,8235,116078
Pomurska,2017,40573,19000,8000,8440,115477
Pomurska,2018,41468,23000,11000,8571,114776
Pomurska,2019,41895,19000,5000,9541,114287
Pomurska,2020,42046,20000,6000,9411,114238
Podravska,2005,121806,NA,NA,NA,319114
Podravska,2006,124028,NA,NA,NA,319235
Podravska,2007,129569,NA,NA,NA,319706
Podravska,2008,134087,56000,28000,6897,321781
Podravska,2009,129297,47000,16000,7799,322900
Podravska,2010,124895,56000,24000,7852,323343
Podravska,2011,122915,55000,28000,8043,323119
Podravska,2012,120135,55000,22000,8140,323534
Podravska,2013,117887,53000,27000,8094,323238
Podravska,2014,119013,52000,27000,8196,323328
Podravska,2015,119587,50000,25000,8422,323356
Podravska,2016,120013,49000,25000,8291,322553
Podravska,2017,123115,52000,22000,8459,322043
Podravska,2018,126593,49000,15000,8882,322058
Podravska,2019,129981,52000,9000,9734,324104
Podravska,2020,128923,54000,12000,10037,325994
Koroška,2005,29581,NA,NA,NA,73839
Koroška,2006,29667,NA,NA,NA,73754
Koroška,2007,30351,NA,NA,NA,73619
Koroška,2008,30887,10000,5000,6900,73714
Koroška,2009,29606,10000,5000,7343,72481
Koroška,2010,28189,13000,8000,7194,72812
Koroška,2011,28057,13000,6000,7727,72494
Koroška,2012,27978,9000,4000,8192,72364
Koroška,2013,27044,11000,6000,7968,72100
Koroška,2014,27088,12000,7000,7995,71546
Koroška,2015,27048,13000,9000,8217,71303
Koroška,2016,27014,13000,8000,8463,71040
Koroška,2017,27666,14000,7000,8585,70761
Koroška,2018,28234,14000,5000,8756,70550
Koroška,2019,28529,16000,6000,9558,70588
Koroška,2020,28627,18000,6000,9668,70755
Savinjska,2005,104434,NA,NA,NA,256752
Savinjska,2006,106136,NA,NA,NA,257375
Savinjska,2007,110340,NA,NA,NA,258480
Savinjska,2008,114089,36000,19000,7163,261243
Savinjska,2009,110308,30000,18000,7902,258845
Savinjska,2010,106677,37000,18000,7936,260025
Savinjska,2011,105746,37000,15000,8092,259726
Savinjska,2012,104428,34000,19000,8235,260253
Savinjska,2013,102554,39000,17000,8059,260217
Savinjska,2014,102594,38000,17000,8175,259853
Savinjska,2015,100482,41000,14000,8425,253975
Savinjska,2016,101920,38000,14000,8220,254318
Savinjska,2017,105913,39000,16000,8486,254761
Savinjska,2018,109398,41000,14000,8790,254760
Savinjska,2019,112302,37000,10000,9526,256359
Savinjska,2020,111627,35000,13000,10052,257847
Zasavska,2005,17574,NA,NA,NA,45547
Zasavska,2006,17798,NA,NA,NA,45356
Zasavska,2007,18322,NA,NA,NA,45229
Zasavska,2008,18746,4000,4000,7734,45226
Zasavska,2009,17950,6000,5000,8035,44750
Zasavska,2010,17307,5000,3000,8468,44706
Zasavska,2011,16825,6000,6000,8273,44222
Zasavska,2012,16443,7000,7000,8492,43926
Zasavska,2013,15974,6000,4000,8227,43502
Zasavska,2014,15679,7000,4000,8215,42983
Zasavska,2015,22013,8000,7000,8405,57711
Zasavska,2016,22246,9000,6000,8394,57404
Zasavska,2017,23038,7000,6000,8635,57280
Zasavska,2018,23774,8000,4000,9170,57061
Zasavska,2019,24154,9000,3000,9834,56962
Zasavska,2020,23861,8000,3000,9959,57156
Posavska,2005,27416,NA,NA,NA,69826
Posavska,2006,27773,NA,NA,NA,69899
Posavska,2007,28851,NA,NA,NA,70058
Posavska,2008,30036,11000,6000,6567,70353
Posavska,2009,29527,9000,7000,7258,69900
Posavska,2010,28565,9000,3000,7537,70192
Posavska,2011,28272,9000,4000,8002,70167
Posavska,2012,27830,11000,6000,8020,70164
Posavska,2013,27423,14000,4000,7323,70211
Posavska,2014,27316,14000,3000,7916,69958
Posavska,2015,29662,12000,5000,7787,75619
Posavska,2016,29828,11000,3000,7910,75711
Posavska,2017,30928,13000,2000,8360,75544
Posavska,2018,31895,8000,3000,8934,75359
Posavska,2019,32663,6000,1000,9530,75559
Posavska,2020,32147,6000,0,10463,75824
Jugovzhodna Slovenija,2005,58190,NA,NA,NA,139095
Jugovzhodna Slovenija,2006,58787,NA,NA,NA,139747
Jugovzhodna Slovenija,2007,61136,NA,NA,NA,140258
Jugovzhodna Slovenija,2008,62882,17000,11000,6933,141547
Jugovzhodna Slovenija,2009,61184,16000,13000,7630,141166
Jugovzhodna Slovenija,2010,59813,16000,10000,7883,142092
Jugovzhodna Slovenija,2011,58976,19000,8000,7933,142483
Jugovzhodna Slovenija,2012,57671,23000,10000,8124,142680
Jugovzhodna Slovenija,2013,56672,24000,11000,7793,142509
Jugovzhodna Slovenija,2014,57094,25000,9000,8091,142405
Jugovzhodna Slovenija,2015,57571,22000,8000,8601,142373
Jugovzhodna Slovenija,2016,58415,20000,6000,8606,142566
Jugovzhodna Slovenija,2017,61069,17000,5000,8880,142711
Jugovzhodna Slovenija,2018,63352,12000,2000,9417,142819
Jugovzhodna Slovenija,2019,64633,10000,1000,9968,144032
Jugovzhodna Slovenija,2020,63933,10000,2000,10222,145357
Primorsko-notranjska,2005,21781,NA,NA,NA,51032
Primorsko-notranjska,2006,22202,NA,NA,NA,51173
Primorsko-notranjska,2007,23104,NA,NA,NA,51483
Primorsko-notranjska,2008,23750,4000,1000,7616,52083
Primorsko-notranjska,2009,23261,5000,4000,8194,51728
Primorsko-notranjska,2010,22603,6000,3000,8387,52217
Primorsko-notranjska,2011,22207,6000,3000,8262,52287
Primorsko-notranjska,2012,21803,5000,4000,8743,52387
Primorsko-notranjska,2013,21209,5000,4000,8717,52382
Primorsko-notranjska,2014,21367,6000,3000,8453,52449
Primorsko-notranjska,2015,21507,5000,1000,8722,52538
Primorsko-notranjska,2016,21757,5000,1000,8738,52523
Primorsko-notranjska,2017,22241,4000,1000,8996,52582
Primorsko-notranjska,2018,22965,5000,1000,8703,52334
Primorsko-notranjska,2019,23439,5000,0,9725,52544
Primorsko-notranjska,2020,23424,5000,2000,9078,52841
Osrednjeslovenska,2005,212311,NA,NA,NA,496675
Osrednjeslovenska,2006,215370,NA,NA,NA,500021
Osrednjeslovenska,2007,222510,NA,NA,NA,503935
Osrednjeslovenska,2008,229342,42000,29000,8452,508607
Osrednjeslovenska,2009,228095,40000,24000,9108,521965
Osrednjeslovenska,2010,224742,44000,22000,9351,529646
Osrednjeslovenska,2011,221471,51000,25000,9544,533213
Osrednjeslovenska,2012,218775,51000,30000,9440,536484
Osrednjeslovenska,2013,214996,58000,30000,9347,541718
Osrednjeslovenska,2014,217145,59000,26000,9377,546314
Osrednjeslovenska,2015,214873,59000,18000,9627,534518
Osrednjeslovenska,2016,220847,64000,20000,9719,537023
Osrednjeslovenska,2017,229350,60000,12000,9859,539672
Osrednjeslovenska,2018,237923,60000,12000,10222,542306
Osrednjeslovenska,2019,245555,54000,11000,10952,549171
Osrednjeslovenska,2020,244217,56000,11000,11349,555274
Gorenjska,2005,81390,NA,NA,NA,198342
Gorenjska,2006,82392,NA,NA,NA,199085
Gorenjska,2007,84716,NA,NA,NA,199902
Gorenjska,2008,86674,17000,8000,7771,201254
Gorenjska,2009,84678,15000,7000,8561,201779
Gorenjska,2010,83175,23000,7000,8418,202903
Gorenjska,2011,82197,28000,11000,8495,203427
Gorenjska,2012,81567,24000,10000,8652,204057
Gorenjska,2013,80277,27000,11000,8271,203984
Gorenjska,2014,81155,27000,9000,8479,203894
Gorenjska,2015,82235,25000,9000,8491,203850
Gorenjska,2016,83789,28000,10000,8532,203838
Gorenjska,2017,86539,25000,6000,8940,203800
Gorenjska,2018,89133,21000,3000,9509,203636
Gorenjska,2019,91059,15000,3000,10202,204670
Gorenjska,2020,90804,17000,2000,10620,206621
Goriška,2005,48838,NA,NA,NA,119622
Goriška,2006,49379,NA,NA,NA,119628
Goriška,2007,50828,NA,NA,NA,119477
Goriška,2008,52185,8000,5000,8039,120329
Goriška,2009,50214,10000,5000,8374,118533
Goriška,2010,48377,11000,6000,8304,119080
Goriška,2011,47305,12000,4000,8505,119146
Goriška,2012,46345,15000,7000,8468,119236
Goriška,2013,45083,16000,7000,8336,119002
Goriška,2014,45173,15000,9000,8338,118374
Goriška,2015,45571,19000,7000,8384,118188
Goriška,2016,46335,18000,6000,8227,118064
Goriška,2017,47839,11000,2000,8871,117747
Goriška,2018,49283,17000,3000,8907,117260
Goriška,2019,50122,13000,2000,9799,117616
Goriška,2020,50161,13000,2000,10754,118041
Obalno-kraška,2005,44011,NA,NA,NA,105029
Obalno-kraška,2006,44946,NA,NA,NA,105632
Obalno-kraška,2007,46437,NA,NA,NA,106162
Obalno-kraška,2008,48107,11000,4000,7868,107905
Obalno-kraška,2009,47909,13000,6000,8289,108778
Obalno-kraška,2010,47215,12000,6000,8350,110412
Obalno-kraška,2011,46051,15000,7000,8483,110760
Obalno-kraška,2012,45150,15000,6000,8655,111423
Obalno-kraška,2013,43694,16000,8000,8687,111936
Obalno-kraška,2014,43886,15000,8000,8853,112848
Obalno-kraška,2015,44489,12000,6000,9769,112773
Obalno-kraška,2016,45523,6000,4000,9419,113070
Obalno-kraška,2017,47183,8000,4000,9847,113517
Obalno-kraška,2018,48754,9000,2000,9818,113961
Obalno-kraška,2019,49898,8000,2000,10194,115016
Obalno-kraška,2020,49150,11000,3000,10946,115913
