REGIJA,SPOL,LETO,DELOVNO.AKTIVNO.PREBIVALSTVO,PREBIVALSTVO
SLOVENIJA,Skupaj,2005,813100,1997590
SLOVENIJA,Skupaj,2006,824839,2003358
SLOVENIJA,Skupaj,2007,853999,2010377
SLOVENIJA,Skupaj,2008,879257,2025866
SLOVENIJA,Skupaj,2009,858171,2032362
SLOVENIJA,Skupaj,2010,835039,2046976
SLOVENIJA,Skupaj,2011,823967,2050189
SLOVENIJA,Skupaj,2012,810001,2055496
SLOVENIJA,Skupaj,2013,793597,2058821
SLOVENIJA,Skupaj,2014,797792,2061085
SLOVENIJA,Skupaj,2015,804637,2062874
SLOVENIJA,Skupaj,2016,817209,2064188
SLOVENIJA,Skupaj,2017,845454,2065895
SLOVENIJA,Skupaj,2018,872772,2066880
SLOVENIJA,Skupaj,2019,894229,2080908
SLOVENIJA,Skupaj,2020,888918,2095861
SLOVENIJA,Moški,2005,NA,977052
SLOVENIJA,Moški,2006,NA,981465
SLOVENIJA,Moški,2007,NA,986982
SLOVENIJA,Moški,2008,NA,1000624
SLOVENIJA,Moški,2009,NA,1003945
SLOVENIJA,Moški,2010,468229,1014107
SLOVENIJA,Moški,2011,457728,1014563
SLOVENIJA,Moški,2012,447268,1016731
SLOVENIJA,Moški,2013,435997,1019061
SLOVENIJA,Moški,2014,441486,1020874
SLOVENIJA,Moški,2015,443641,1022229
SLOVENIJA,Moški,2016,446863,1023333
SLOVENIJA,Moški,2017,463451,1025125
SLOVENIJA,Moški,2018,478148,1027041
SLOVENIJA,Moški,2019,492475,1038656
SLOVENIJA,Moški,2020,488437,1051066
SLOVENIJA,Ženske,2005,NA,1020538
SLOVENIJA,Ženske,2006,NA,1021893
SLOVENIJA,Ženske,2007,NA,1023395
SLOVENIJA,Ženske,2008,NA,1025242
SLOVENIJA,Ženske,2009,NA,1028417
SLOVENIJA,Ženske,2010,366810,1032869
SLOVENIJA,Ženske,2011,366238,1035626
SLOVENIJA,Ženske,2012,362733,1038765
SLOVENIJA,Ženske,2013,357600,1039760
SLOVENIJA,Ženske,2014,356306,1040211
SLOVENIJA,Ženske,2015,360996,1040645
SLOVENIJA,Ženske,2016,370346,1040855
SLOVENIJA,Ženske,2017,382003,1040770
SLOVENIJA,Ženske,2018,394624,1039839
SLOVENIJA,Ženske,2019,401754,1042252
SLOVENIJA,Ženske,2020,400481,1044795
Pomurska,Skupaj,2005,45768,122717
Pomurska,Skupaj,2006,46361,122453
Pomurska,Skupaj,2007,47834,122068
Pomurska,Skupaj,2008,48471,121824
Pomurska,Skupaj,2009,46141,119537
Pomurska,Skupaj,2010,43482,119548
Pomurska,Skupaj,2011,43945,119145
Pomurska,Skupaj,2012,41877,118988
Pomurska,Skupaj,2013,40783,118022
Pomurska,Skupaj,2014,40283,117133
Pomurska,Skupaj,2015,39600,116670
Pomurska,Skupaj,2016,39523,116078
Pomurska,Skupaj,2017,40573,115477
Pomurska,Skupaj,2018,41468,114776
Pomurska,Skupaj,2019,41895,114287
Pomurska,Skupaj,2020,42046,114238
Pomurska,Moški,2005,NA,59395
Pomurska,Moški,2006,NA,59342
Pomurska,Moški,2007,NA,59120
Pomurska,Moški,2008,NA,59142
Pomurska,Moški,2009,NA,58215
Pomurska,Moški,2010,25045,58198
Pomurska,Moški,2011,25040,58065
Pomurska,Moški,2012,23409,58078
Pomurska,Moški,2013,22666,57805
Pomurska,Moški,2014,22847,57444
Pomurska,Moški,2015,22293,57345
Pomurska,Moški,2016,21668,57127
Pomurska,Moški,2017,22375,56780
Pomurska,Moški,2018,22547,56509
Pomurska,Moški,2019,22808,56413
Pomurska,Moški,2020,22797,56535
Pomurska,Ženske,2005,NA,63322
Pomurska,Ženske,2006,NA,63111
Pomurska,Ženske,2007,NA,62948
Pomurska,Ženske,2008,NA,62682
Pomurska,Ženske,2009,NA,61322
Pomurska,Ženske,2010,18437,61350
Pomurska,Ženske,2011,18905,61080
Pomurska,Ženske,2012,18467,60910
Pomurska,Ženske,2013,18118,60217
Pomurska,Ženske,2014,17436,59689
Pomurska,Ženske,2015,17307,59325
Pomurska,Ženske,2016,17855,58951
Pomurska,Ženske,2017,18198,58697
Pomurska,Ženske,2018,18921,58267
Pomurska,Ženske,2019,19087,57874
Pomurska,Ženske,2020,19249,57703
Podravska,Skupaj,2005,121806,319114
Podravska,Skupaj,2006,124028,319235
Podravska,Skupaj,2007,129569,319706
Podravska,Skupaj,2008,134087,321781
Podravska,Skupaj,2009,129297,322900
Podravska,Skupaj,2010,124895,323343
Podravska,Skupaj,2011,122915,323119
Podravska,Skupaj,2012,120135,323534
Podravska,Skupaj,2013,117887,323238
Podravska,Skupaj,2014,119013,323328
Podravska,Skupaj,2015,119587,323356
Podravska,Skupaj,2016,120013,322553
Podravska,Skupaj,2017,123115,322043
Podravska,Skupaj,2018,126593,322058
Podravska,Skupaj,2019,129981,324104
Podravska,Skupaj,2020,128923,325994
Podravska,Moški,2005,NA,155656
Podravska,Moški,2006,NA,155871
Podravska,Moški,2007,NA,156512
Podravska,Moški,2008,NA,158729
Podravska,Moški,2009,NA,158999
Podravska,Moški,2010,70517,159622
Podravska,Moški,2011,68491,159406
Podravska,Moški,2012,66451,159663
Podravska,Moški,2013,64892,159869
Podravska,Moški,2014,66278,160285
Podravska,Moški,2015,66564,160426
Podravska,Moški,2016,66003,160228
Podravska,Moški,2017,67736,160047
Podravska,Moški,2018,69236,160451
Podravska,Moški,2019,71550,162310
Podravska,Moški,2020,70655,164112
Podravska,Ženske,2005,NA,163458
Podravska,Ženske,2006,NA,163364
Podravska,Ženske,2007,NA,163194
Podravska,Ženske,2008,NA,163052
Podravska,Ženske,2009,NA,163901
Podravska,Ženske,2010,54378,163721
Podravska,Ženske,2011,54423,163713
Podravska,Ženske,2012,53684,163871
Podravska,Ženske,2013,52995,163369
Podravska,Ženske,2014,52735,163043
Podravska,Ženske,2015,53023,162930
Podravska,Ženske,2016,54010,162325
Podravska,Ženske,2017,55380,161996
Podravska,Ženske,2018,57358,161607
Podravska,Ženske,2019,58432,161794
Podravska,Ženske,2020,58268,161882
Koroška,Skupaj,2005,29581,73839
Koroška,Skupaj,2006,29667,73754
Koroška,Skupaj,2007,30351,73619
Koroška,Skupaj,2008,30887,73714
Koroška,Skupaj,2009,29606,72481
Koroška,Skupaj,2010,28189,72812
Koroška,Skupaj,2011,28057,72494
Koroška,Skupaj,2012,27978,72364
Koroška,Skupaj,2013,27044,72100
Koroška,Skupaj,2014,27088,71546
Koroška,Skupaj,2015,27048,71303
Koroška,Skupaj,2016,27014,71040
Koroška,Skupaj,2017,27666,70761
Koroška,Skupaj,2018,28234,70550
Koroška,Skupaj,2019,28529,70588
Koroška,Skupaj,2020,28627,70755
Koroška,Moški,2005,NA,36783
Koroška,Moški,2006,NA,36790
Koroška,Moški,2007,NA,36728
Koroška,Moški,2008,NA,36925
Koroška,Moški,2009,NA,36388
Koroška,Moški,2010,16023,36551
Koroška,Moški,2011,16057,36401
Koroška,Moški,2012,15991,36313
Koroška,Moški,2013,15456,36205
Koroška,Moški,2014,15487,35947
Koroška,Moški,2015,15324,35836
Koroška,Moški,2016,15073,35657
Koroška,Moški,2017,15392,35494
Koroška,Moški,2018,15618,35419
Koroška,Moški,2019,15802,35643
Koroška,Moški,2020,15759,35828
Koroška,Ženske,2005,NA,37056
Koroška,Ženske,2006,NA,36964
Koroška,Ženske,2007,NA,36891
Koroška,Ženske,2008,NA,36789
