"Stopnja tveganja revšèine, statistiène regije, Slovenija, letno"

"MERITVE";"STATISTIÈNA REGIJA";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Število oseb pod pragom tveganja revšèine";"SLOVENIJA";241000;223000;254000;273000;271000;291000;290000;287000;280000;268000;268000;243000;254000
"Število oseb pod pragom tveganja revšèine";"Pomurska";24000;22000;22000;22000;21000;23000;22000;20000;19000;19000;23000;19000;20000
"Število oseb pod pragom tveganja revšèine";"Podravska";56000;47000;56000;55000;55000;53000;52000;50000;49000;52000;49000;52000;54000
"Število oseb pod pragom tveganja revšèine";"Koroška";10000;10000;13000;13000;9000;11000;12000;13000;13000;14000;14000;16000;18000
"Število oseb pod pragom tveganja revšèine";"Savinjska";36000;30000;37000;37000;34000;39000;38000;41000;38000;39000;41000;37000;35000
"Število oseb pod pragom tveganja revšèine";"Zasavska";4000;6000;5000;6000;7000;6000;7000;8000;9000;7000;8000;9000;8000
"Število oseb pod pragom tveganja revšèine";"Posavska";11000;9000;9000;9000;11000;14000;14000;12000;11000;13000;8000;6000;6000
"Število oseb pod pragom tveganja revšèine";"Jugovzhodna Slovenija";17000;16000;16000;19000;23000;24000;25000;22000;20000;17000;12000;10000;10000
"Število oseb pod pragom tveganja revšèine";"Osrednjeslovenska";42000;40000;44000;51000;51000;58000;59000;59000;64000;60000;60000;54000;56000
"Število oseb pod pragom tveganja revšèine";"Gorenjska";17000;15000;23000;28000;24000;27000;27000;25000;28000;25000;21000;15000;17000
"Število oseb pod pragom tveganja revšèine";"Primorsko-notranjska";4000;5000;6000;6000;5000;5000;6000;5000;5000;4000;5000;5000;5000
"Število oseb pod pragom tveganja revšèine";"Goriška";8000;10000;11000;12000;15000;16000;15000;19000;18000;11000;17000;13000;13000
"Število oseb pod pragom tveganja revšèine";"Obalno-kraška";11000;13000;12000;15000;15000;16000;15000;12000;6000;8000;9000;8000;11000
