"Stopnja resne materialne prikrajšanosti, statistiène regije, Slovenija, letno"

"MERITVE";"STATISTIÈNA REGIJA";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"SLOVENIJA";130000;121000;119000;122000;133000;134000;133000;116000;108000;92000;74000;53000;62000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Pomurska";12000;10000;8000;6000;8000;6000;11000;7000;5000;8000;11000;5000;6000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Podravska";28000;16000;24000;28000;22000;27000;27000;25000;25000;22000;15000;9000;12000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Koroška";5000;5000;8000;6000;4000;6000;7000;9000;8000;7000;5000;6000;6000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Savinjska";19000;18000;18000;15000;19000;17000;17000;14000;14000;16000;14000;10000;13000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Zasavska";4000;5000;3000;6000;7000;4000;4000;7000;6000;6000;4000;3000;3000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Posavska";6000;7000;3000;4000;6000;4000;3000;5000;3000;2000;3000;1000;0
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Jugovzhodna Slovenija";11000;13000;10000;8000;10000;11000;9000;8000;6000;5000;2000;1000;2000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Osrednjeslovenska";29000;24000;22000;25000;30000;30000;26000;18000;20000;12000;12000;11000;11000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Gorenjska";8000;7000;7000;11000;10000;11000;9000;9000;10000;6000;3000;3000;2000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Primorsko-notranjska";1000;4000;3000;3000;4000;4000;3000;1000;1000;1000;1000;0;2000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Goriška";5000;5000;6000;4000;7000;7000;9000;7000;6000;2000;3000;2000;2000
"Število resno materialno prikrajšanih oseb (za najmanj 4 od 9 elementov)";"Obalno-kraška";4000;6000;6000;7000;6000;8000;8000;6000;4000;4000;2000;2000;3000
